source_line,method,uri,route_name,surface,inventory_kind,review_status,action,middleware
518,GET|HEAD,admin/settings/payments,admin.settings.payments,Admin,page candidate,OPEN,App\Http\Controllers\Admin\PaymentSettingsController@edit,web | App\Http\Middleware\Authenticate | App\Http\Middleware\AdminMiddleware | App\Http\Middleware\PermissionMiddleware:payments.settings
449,GET|HEAD,admin/settings/shipping/methods,admin.settings.shipping.methods,Admin,page candidate,OPEN,App\Http\Controllers\Admin\ShippingSettingsController@methods,web | App\Http\Middleware\Authenticate | App\Http\Middleware\AdminMiddleware | App\Http\Middleware\PermissionMiddleware:settings.manage
456,GET|HEAD,admin/settings/shipping/rates,admin.settings.shipping.rates,Admin,page candidate,OPEN,App\Http\Controllers\Admin\ShippingSettingsController@rates,web | App\Http\Middleware\Authenticate | App\Http\Middleware\AdminMiddleware | App\Http\Middleware\PermissionMiddleware:settings.manage
451,GET|HEAD,admin/settings/shipping/zones,admin.settings.shipping.zones,Admin,page candidate,OPEN,App\Http\Controllers\Admin\ShippingSettingsController@zones,web | App\Http\Middleware\Authenticate | App\Http\Middleware\AdminMiddleware | App\Http\Middleware\PermissionMiddleware:settings.manage
458,GET|HEAD,admin/settings/whatsapp,admin.settings.whatsapp,Admin,page candidate,OPEN,App\Http\Controllers\Admin\WhatsAppSettingsController@edit,web | App\Http\Middleware\Authenticate | App\Http\Middleware\AdminMiddleware | App\Http\Middleware\PermissionMiddleware:settings.manage
390,GET|HEAD,admin/suppliers,admin.suppliers.index,Admin,page candidate,OPEN,App\Http\Controllers\Admin\SupplierController@index,web | App\Http\Middleware\Authenticate | App\Http\Middleware\AdminMiddleware | App\Http\Middleware\PermissionMiddleware:inventory.manage
391,GET|HEAD,admin/suppliers/create,admin.suppliers.create,Admin,page candidate,OPEN,App\Http\Controllers\Admin\SupplierController@create,web | App\Http\Middleware\Authenticate | App\Http\Middleware\AdminMiddleware | App\Http\Middleware\PermissionMiddleware:inventory.manage
393,GET|HEAD,admin/suppliers/{supplier}/edit,admin.suppliers.edit,Admin,page candidate,OPEN,App\Http\Controllers\Admin\SupplierController@edit,web | App\Http\Middleware\Authenticate | App\Http\Middleware\AdminMiddleware | App\Http\Middleware\PermissionMiddleware:inventory.manage
507,GET|HEAD,admin/support,admin.support.index,Admin,page candidate,OPEN,App\Http\Controllers\Admin\SupportCaseController@index,web | App\Http\Middleware\Authenticate | App\Http\Middleware\AdminMiddleware | App\Http\Middleware\PermissionMiddleware:support.view
496,GET|HEAD,admin/support/create,admin.support.create,Admin,page candidate,OPEN,App\Http\Controllers\Admin\SupportCaseController@create,web | App\Http\Middleware\Authenticate | App\Http\Middleware\AdminMiddleware | App\Http\Middleware\PermissionMiddleware:support.manage
